SNAPSHOT_DATE,JANCODE,PRODUCT_NAME,MAKER_NAME,STOCK_QTY,UNIT_PRICE,STOCK_AMOUNT,STOCK_STATUS
2026-02-24,4901001000011,国産鶏の唐揚げ 6個入,惣菜工房やまと,27,398,10746,通常
2026-02-24,4901001000028,若鶏のチキン南蛮 タルタルソース付,惣菜工房やまと,94,498,46812,通常
2026-02-24,4901001000035,手羽先の甘辛揚げ 5本入,惣菜工房やまと,85,358,30430,通常
2026-02-24,4901001000042,鶏もも肉の照り焼き 2枚入,惣菜工房やまと,2,428,856,残少
2026-02-24,4901001000059,ササミのチーズフライ 4本入,惣菜工房やまと,133,348,46284,通常
2026-02-24,4901002000018,三元豚のロースとんかつ,デリカ匠,120,498,59760,通常
2026-02-24,4901002000025,ヒレかつ弁当 2枚入,デリカ匠,99,598,59202,通常
2026-02-24,4901002000032,豚バラの角煮 2個入,デリカ匠,85,458,38930,通常
2026-02-24,4901002000049,肉じゃがコロッケ 4個入,デリカ匠,82,298,24436,通常
2026-02-24,4901002000056,メンチカツ 2個入,デリカ匠,20,298,5960,通常
2026-02-24,4901002000063,ハムカツ 3枚入,デリカ匠,58,248,14384,通常
2026-02-24,4901003000015,銀鮭の塩焼き,海鮮惣菜さくら,133,398,52934,通常
2026-02-24,4901003000022,サバの味噌煮,海鮮惣菜さくら,47,358,16826,通常
2026-02-24,4901003000039,アジフライ 2枚入,海鮮惣菜さくら,150,298,44700,通常
2026-02-24,4901003000046,エビフライ 3本入,海鮮惣菜さくら,67,458,30686,通常
2026-02-24,4901003000053,カキフライ 5個入,海鮮惣菜さくら,57,498,28386,通常
2026-02-24,4901003000060,イカリングフライ 6個入,海鮮惣菜さくら,75,348,26100,通常
2026-02-24,4901003000077,白身魚のタルタルフライ 2枚入,海鮮惣菜さくら,46,328,15088,通常
2026-02-24,4901004000012,ポテトサラダ 150g,サラダ工房みどり,72,248,17856,通常
2026-02-24,4901004000029,マカロニサラダ 120g,サラダ工房みどり,116,228,26448,通常
2026-02-24,4901004000036,ごぼうサラダ 100g,サラダ工房みどり,62,198,12276,通常
2026-02-24,4901004000043,コールスローサラダ 130g,サラダ工房みどり,54,198,10692,通常
2026-02-24,4901004000050,春雨サラダ 100g,サラダ工房みどり,1,218,218,残少
2026-02-24,4901004000067,海藻サラダ 80g,サラダ工房みどり,123,258,31734,通常
2026-02-24,4901005000019,ひじきの煮物 120g,和惣菜ふじ,21,198,4158,通常
2026-02-24,4901005000026,切り干し大根の煮物 100g,和惣菜ふじ,49,178,8722,通常
2026-02-24,4901005000033,きんぴらごぼう 100g,和惣菜ふじ,135,178,24030,通常
2026-02-24,4901005000040,筑前煮 180g,和惣菜ふじ,46,328,15088,通常
2026-02-24,4901005000057,肉豆腐 200g,和惣菜ふじ,37,298,11026,通常
2026-02-24,4901005000064,卯の花 120g,和惣菜ふじ,0,168,0,欠品
2026-02-24,4901005000071,だし巻き卵 3切入,和惣菜ふじ,52,248,12896,通常
2026-02-24,4901006000016,麻婆豆腐,中華惣菜龍,92,348,32016,通常
2026-02-24,4901006000023,エビチリ 6尾入,中華惣菜龍,114,498,56772,通常
2026-02-24,4901006000030,酢豚 180g,中華惣菜龍,110,428,47080,通常
2026-02-24,4901006000047,八宝菜 200g,中華惣菜龍,7,398,2786,残少
2026-02-24,4901006000054,回鍋肉 150g,中華惣菜龍,93,378,35154,通常
2026-02-24,4901006000061,青椒肉絲 150g,中華惣菜龍,27,378,10206,通常
2026-02-24,4901006000078,春巻き 3本入,中華惣菜龍,21,298,6258,通常
2026-02-24,4901006000085,焼き餃子 6個入,中華惣菜龍,0,298,0,欠品
2026-02-24,4901007000013,のり弁当,お弁当館,77,398,30646,通常
2026-02-24,4901007000020,鮭弁当,お弁当館,23,498,11454,通常
2026-02-24,4901007000037,から揚げ弁当,お弁当館,49,498,24402,通常
2026-02-24,4901007000044,とんかつ弁当,お弁当館,91,548,49868,通常
2026-02-24,4901007000051,幕の内弁当,お弁当館,0,598,0,欠品
2026-02-24,4901007000068,焼肉弁当,お弁当館,26,598,15548,通常
2026-02-24,4901007000075,ハンバーグ弁当,お弁当館,29,498,14442,通常
2026-02-24,4901008000010,おにぎり 鮭,おむすび処こめ太郎,149,138,20562,通常
2026-02-24,4901008000027,おにぎり 梅,おむすび処こめ太郎,0,128,0,欠品
2026-02-24,4901008000034,おにぎり ツナマヨ,おむすび処こめ太郎,42,148,6216,通常
2026-02-24,4901008000041,おにぎり 明太子,おむすび処こめ太郎,120,158,18960,通常
2026-02-24,4901008000058,おにぎり 昆布,おむすび処こめ太郎,4,128,512,残少
2026-02-24,4901008000065,赤飯おにぎり,おむすび処こめ太郎,122,178,21716,通常
2026-02-24,4901009000017,いなり寿司 3個入,寿司処まる,92,198,18216,通常
2026-02-24,4901009000024,助六寿司 8貫,寿司処まる,125,398,49750,通常
2026-02-24,4901009000031,海鮮ちらし寿司,寿司処まる,3,698,2094,残少
2026-02-24,4901009000048,サーモン寿司 8貫,寿司処まる,124,598,74152,通常
2026-02-24,4901009000055,まぐろ寿司 8貫,寿司処まる,48,698,33504,通常
2026-02-24,4902001000014,恵方巻き 1本,季節の味わい四季彩,0,798,0,季節外
2026-02-24,4902001000021,桜餅 2個入,季節の味わい四季彩,0,298,0,季節外
2026-02-24,4902001000038,柏餅 2個入,季節の味わい四季彩,0,298,0,季節外
2026-02-24,4902001000045,冷やし中華 1人前,季節の味わい四季彩,0,498,0,季節外
2026-02-24,4902001000052,冷製パスタ トマト&バジル,季節の味わい四季彩,0,548,0,季節外
2026-02-24,4902001000069,素麺セット つゆ付き,季節の味わい四季彩,0,398,0,季節外
2026-02-24,4902001000076,うなぎ蒲焼き 1尾,季節の味わい四季彩,0,1280,0,季節外
2026-02-24,4902001000083,土用餅 3個入,季節の味わい四季彩,0,258,0,季節外
2026-02-24,4902001000090,おはぎ 3個入,季節の味わい四季彩,0,298,0,季節外
2026-02-24,4902001000106,栗ご飯 1パック,季節の味わい四季彩,0,498,0,季節外
2026-02-24,4902001000113,月見団子 5個入,季節の味わい四季彩,0,298,0,季節外
2026-02-24,4902001000120,さんま塩焼き,季節の味わい四季彩,0,398,0,季節外
2026-02-24,4902001000137,松茸ご飯 1パック,季節の味わい四季彩,0,698,0,季節外
2026-02-24,4902001000144,おでん盛り合わせ 5種,季節の味わい四季彩,30,498,14940,通常
2026-02-24,4902001000151,年越しそば つゆ付き,季節の味わい四季彩,0,398,0,季節外
2026-02-24,4902001000168,おせち詰め合わせ ミニ,季節の味わい四季彩,0,2980,0,季節外
